Meses;Feijao_cor;Feijao_Prt;Mandioca;Milho;Soja;Trigo;Cafe;Cana;Boi_GD;Boi_MG;Frango;Suino;Leite;Ovos_Gd;Ovos_Md;IGP_DI
jan/99;52,71;44,17;52,98;8,00;13,28;9,11;1,98;16,54;27,59;293,96;0,65;0,89;0,21;14,07;12,17;148,921
fev/99;38,86;36,91;60,16;8,23;15,58;10,12;2,33;16,42;29,89;308,73;0,69;0,96;0,21;13,90;13,62;155,528
mar/99;38,37;33,07;66,97;8,23;15,71;11,32;2,30;16,51;29,96;309,73;0,70;1,02;0,22;16,71;15,05;158,6
abr/99;31,27;28,31;71,08;8,17;13,77;12,14;2,01;15,87;29,10;316,80;0,68;0,94;0,24;15,16;14,11;158,647
mai/99;27,47;29,71;65,18;8,18;13,33;12,34;2,10;14,69;27,72;303,81;0,67;0,88;0,24;14,64;13,78;158,1
jun/99;24,20;27,99;55,50;8,18;13,83;12,38;2,39;14,12;27,83;307,91;0,67;0,91;0,25;17,02;15,22;159,711
jul/99;21,62;25,64;55,22;8,18;13,77;12,47;2,04;13,31;29,79;322,17;0,66;0,93;0,26;16,08;14,30;162,253
ago/99;25,19;25,06;59,82;8,15;15,18;12,34;2,01;12,57;30,82;332,81;0,67;0,93;0,26;15,14;14,07;164,612
set/99;40,23;33,10;64,77;8,54;17,56;12,97;2,04;12,13;32,56;340,17;0,70;0,95;0,26;14,61;13,31;167,028
out/99;38,90;34,23;72,73;9,47;18,47;11,87;2,23;12,43;36,60;370,29;0,72;1,06;0,26;14,09;13,12;170,182
nov/99;37,23;29,66;85,88;11,02;18,86;11,99;2,82;12,53;38,57;386,95;0,77;1,12;0,26;16,15;14,72;174,496
dez/99;41,92;27,50;105,95;11,33;18,16;11,83;3,12;12,86;37,62;386,66;0,83;1,20;0,27;17,47;15,74;176,647
jan/00;27,90;24,80;111,95;11,94;18,04;11,60;3,06;13,44;38,20;392,82;0,82;1,20;0,27;15,94;14,75;178,454
fev/00;22,13;22,11;116,04;11,38;18,10;12,05;2,81;13,89;37,93;394,67;0,81;1,16;0,28;17,45;15,52;178,8
mar/00;21,52;21,86;104,60;10,73;17,32;12,29;2,52;13,52;35,98;387,18;0,78;1,05;0,27;17,61;15,66;179,128
abr/00;23,33;20,95;81,82;10,54;17,14;12,65;2,51;14,19;36,04;397,01;0,74;0,96;0,29;18,28;17,70;179,357
mai/00;30,98;24,42;73,02;10,88;17,45;13,21;2,52;15,10;35,13;386,50;0,72;0,95;0,29;17,75;16,40;180,563
jun/00;30,08;24,78;69,86;10,49;16,60;13,95;2,24;14,82;36,44;396,49;0,76;0,98;0,30;18,11;16,15;182,236
jul/00;33,43;24,44;68,15;10,46;15,86;14,24;2,24;14,91;37,72;409,12;0,81;1,02;0,32;18,43;16,28;186,353
ago/00;41,35;26,62;69,07;11,54;15,69;14,54;1,97;16,78;39,72;424,05;0,84;1,16;0,35;19,68;17,93;189,746
set/00;36,83;26,05;73,05;11,44;16,35;14,69;1,92;18,31;39,73;425,99;0,82;1,13;0,36;18,85;17,36;191,049
out/00;36,76;24,70;74,48;11,24;16,90;13,84;1,90;18,94;40,74;432,92;0,84;1,13;0,34;18,24;16,67;191,763
nov/00;34,10;23,87;73,85;10,49;17,32;13,39;1,88;18,89;40,42;434,62;0,87;1,17;0,31;17,82;16,32;192,506
dez/00;33,82;24,07;74,03;8,54;19,00;13,18;1,63;18,34;39,18;423,21;0,86;1,27;0,28;18,71;17,21;193,97
jan/01;39,20;31,19;70,88;7,83;18,41;13,36;1,59;18,91;38,23;420,68;0,82;1,22;0,26;16,98;15,58;194,92
fev/01;40,82;35,46;62,66;7,16;16,62;13,69;1,62;19,11;37,14;412,53;0,81;1,05;0,25;17,91;16,39;195,58
mar/01;48,48;37,45;51,36;7,01;16,19;14,10;1,60;18,81;37,85;413,43;0,82;1,09;0,26;20,16;18,72;197,151
abr/01;52,56;40,63;48,53;7,12;16,22;14,54;1,49;18,80;39,17;432,88;0,83;1,24;0,29;21,39;19,91;199,374
mai/01;48,10;46,62;42,83;7,27;16,79;14,98;1,59;18,82;38,60;432,17;0,84;1,21;0,31;20,18;18,79;200,251
jun/01;45,42;59,00;40,36;7,73;19,24;16,03;1,61;18,94;38,48;431,25;0,85;1,24;0,33;22,44;21,02;203,167
jul/01;46,16;62,14;39,13;8,27;22,00;16,45;1,49;20,28;39,03;439,49;0,89;1,26;0,34;22,25;20,84;206,45
ago/01;51,76;74,93;37,91;9,22;23,83;16,30;1,43;20,98;40,98;448,65;0,87;1,22;0,32;21,50;19,94;208,315
set/01;50,77;84,07;37,75;9,67;25,27;16,02;1,40;22,04;41,34;454,22;0,89;1,20;0,27;18,27;16,57;209,111
out/01;51,51;88,46;37,21;9,91;26,20;15,70;1,25;22,17;43,52;473,28;0,90;1,26;0,24;17,04;15,33;212,135
