Meses;Feijao_cor;Feijao_Prt;Mandioca;Milho;Soja;Trigo;Cafe;Cana;Boi_GD;Boi_MG;Frango;Suino;Leite;Ovos_Gd;Ovos_Md;IGP_DI
dez/10;78,25;65,78;273,44;19,50;43,87;24,53;4,37;39,21;95,57;1015,85;1,84;2,75;0,73;35,57;33,43;443,427
jan/11;65,25;62,41;268,59;20,62;45,52;25,03;5,11;39,85;95,43;1041,03;1,75;2,55;0,71;35,09;32,74;447,764
fev/11;55,82;60,11;245,23;22,34;45,68;25,25;5,75;41,11;96,28;1054,76;1,77;2,19;0,71;37,23;35,43;452,047
mar/11;67,37;68,17;227,26;22,90;43,35;26,11;6,47;41,40;97,44;1071,98;1,82;2,22;0,72;38,35;36,58;454,805
abr/11;74,41;67,21;229,61;23,67;40,96;26,76;6,77;42,27;97,42;1104,40;1,74;2,33;0,74;44,14;42,01;457,059
mai/11;75,89;64,19;210,82;23,22;40,38;26,70;6,92;44,70;95,11;1054,76;1,69;2,15;0,76;39,72;37,41;457,09
jun/11;81,86;65,51;191,70;23,52;40,10;26,41;6,62;45,21;91,91;1027,03;1,66;1,85;0,80;42,54;40,31;456,49
jul/11;79,92;64,25;202,51;23,78;40,33;26,07;6,59;47,98;93,69;1049,89;1,72;2,13;0,81;43,75;41,52;456,258
ago/11;80,33;61,81;204,52;22,23;41,15;25,68;6,57;49,68;97,33;1150,52;1,81;2,21;0,81;45,25;43,11;459,055
set/11;83,96;62,14;216,01;23,03;44,02;25,40;7,26;51,12;95,07;1112,95;1,78;2,15;0,83;44,22;42,00;462,509
out/11;85,90;64,71;220,71;21,65;42,26;24,84;7,13;52,28;93,43;1062,79;1,78;2,29;0,83;42,54;40,44;464,349
nov/11;87,60;64,68;246,98;21,66;41,08;24,23;6,98;52,68;96,63;1147,71;1,79;2,30;0,80;42,26;40,10;466,331
dez/11;98,40;66,19;244,43;20,30;40,14;23,76;6,92;53,17;97,05;1118,76;1,82;2,50;0,82;42,11;39,59;465,586
jan/12;139,22;86,72;228,00;22,50;42,44;23,35;6,85;55,18;95,05;1075,10;1,73;2,38;0,80;44,08;41,19;466,979
fev/12;128,74;86,72;227,00;23,07;43,47;23,43;6,77;54,44;94,71;1084,67;1,65;2,33;0,79;43,27;40,96;467,308
mar/12;145,47;83,12;218,53;22,57;47,92;24,34;5,76;52,08;92,27;1042,98;1,73;2,16;0,80;47,03;44,69;469,91
abr/12;169,31;85,17;215,70;21,39;51,67;25,11;5,57;51,97;92,41;1057,35;1,73;1,99;0,80;47,17;44,58;474,683
mai/12;156,89;89,40;218,14;20,56;55,33;25,65;5,68;52,49;91,85;1090,39;1,69;2,01;0,79;44,06;41,73;479,019
jun/12;141,17;100,69;217,05;19,96;58,29;25,81;5,43;53,20;91,01;1127,02;1,76;1,84;0,79;49,67;47,17;482,311
jul/12;108,39;100,77;207,60;23,17;65,63;26,96;5,98;53,42;90,74;1064,11;1,80;1,94;0,79;49,94;47,26;489,621
ago/12;111,28;96,43;221,27;26,60;72,60;30,40;5,80;54,10;90,99;1079,08;2,01;2,54;0,80;51,89;48,99;495,949
set/12;135,37;100,88;264,58;24,78;73,92;34,02;5,67;54,60;94,07;1118,94;2,18;2,50;0,79;47,99;45,79;500,314
out/12;129,55;104,11;282,28;24,33;67,27;33,70;5,56;53,87;95,08;1102,25;2,22;2,78;0,80;47,07;45,76;498,739
nov/12;136,35;106,98;343,91;26,35;67,17;34,02;5,12;53,76;96,18;1113,86;2,29;2,94;0,82;52,71;48,65;499,989
dez/12;150,66;107,61;341,22;26,92;67,25;36,39;4,84;53,26;96,21;1110,00;2,46;3,10;0,82;55,63;52,74;503,283
jan/13;158,10;116,38;338,93;25,84;58,91;38,99;4,93;52,95;96,11;1093,25;2,42;3,10;0,84;52,74;50,34;504,83
fev/13;172,02;122,49;368,03;25,06;55,63;39,84;4,68;53,08;96,59;1055,33;2,41;3,12;0,84;63,17;60,13;505,832
mar/13;177,04;124,21;365,06;22,56;53,33;39,23;4,47;53,16;96,35;1064,09;2,32;2,98;0,82;63,91;61,71;507,375
abr/13;198,42;125,22;351,41;19,50;50,53;38,55;4,45;51,38;97,18;1082,30;2,03;2,75;0,85;66,32;64,39;507,087
mai/13;199,74;130,33;308,57;19,12;52,42;38,39;4,38;50,77;95,65;1089,36;1,85;2,53;0,87;62,92;61,20;508,715
jun/13;159,28;143,33;314,95;19,98;58,69;39,17;4,20;49,81;95,79;1066,82;1,91;2,55;0,91;62,46;60,68;512,598
jul/13;153,94;141,78;366,67;18,76;58,96;42,16;4,23;50,37;99,11;1119,63;2,00;2,50;0,95;62,74;60,27;513,313
ago/13;138,38;136,89;384,09;17,42;59,85;45,45;4,18;50,81;99,14;1111,24;2,15;2,73;1,01;63,48;61,70;515,688
set/13;126,27;137,03;403,92;17,77;63,02;49,04;3,91;50,49;100,56;1127,64;2,36;2,92;1,04;62,18;60,62;522,69
out/13;116,65;138,31;439,21;17,26;64,10;48,57;3,56;52,05;105,64;1170,64;2,44;3,28;1,06;55,45;54,04;525,966
nov/13;103,04;137,96;533,75;17,81;66,03;44,32;3,10;52,35;105,80;1179,99;2,26;3,31;1,03;49,78;48,18;527,422
dez/13;92,05;134,42;550,08;18,62;66,73;41,82;3,27;52,17;108,41;1201,62;2,29;3,29;1,01;52,83;50,67;531,056
jan/14;76,18;122,95;515,49;19,47;61,18;41,06;3,90;53,07;112,03;1200,48;2,22;3,47;0,99;45,97;43,49;533,197
fev/14;87,08;125,46;391,49;20,98;62,03;41,41;4,91;53,18;113,12;1206,38;2,22;3,10;0,96;55,80;53,70;537,703
mar/14;110,86;141,19;351,87;23,29;63,36;41,70;6,27;52,78;117,83;1263,15;2,34;3,00;0,94;67,40;65,45;545,684
abr/14;108,50;137,46;344,59;23,04;61,83;42,58;6,24;52,75;118,97;1289,54;2,29;3,09;0,97;72,03;69,71;548,145
mai/14;77,84;109,85;265,11;21,32;61,52;42,59;6,13;52,92;117,44;1289,48;2,21;3,06;1,01;64,25;61,78;545,652
jun/14;63,09;95,17;251,50;20,03;60,87;41,78;5,63;51,97;116,97;1292,38;2,22;3,11;1,01;59,73;57,03;542,194
jul/14;61,27;94,10;255,46;18,44;56,40;38,01;5,75;52,17;118,36;1307,69;2,13;3,21;1,02;60,57;57,51;539,21
ago/14;53,88;93,94;245,37;18,38;56,11;32,95;6,32;52,04;119,74;1355,53;2,15;3,41;1,02;58,27;56,50;539,55
set/14;53,23;92,33;227,68;17,82;53,38;29,97;6,39;52,03;125,68;1381,00;2,23;3,68;1,01;53,36;51,96;539,649
out/14;68,79;93,46;230,03;17,84;55,09;29,10;6,99;52,22;127,49;1365,44;2,31;3,86;1,00;52,09;49,36;542,853
nov/14;73,22;94,08;238,29;20,01;58,27;29,10;6,45;52,22;136,42;1506,46;2,31;3,91;0,97;51,45;49,84;549,04
dez/14;106,01;99,52;219,39;21,36;58,27;29,67;6,40;51,83;138,29;1519,68;2,27;3,59;0,92;51,47;50,10;551,149
jan/15;143,17;126,04;198,75;20,73;55,75;30,34;6,37;51,95;138,98;1565,69;2,18;3,54;0,88;54,40;52,14;554,835
fev/15;141,66;124,51;187,94;20,80;56,19;30,66;6,30;52,59;138,32;1553,12;2,19;3,14;0,84;64,29;60,89;557,803
mar/15;135,85;120,66;185,37;21,34;58,87;31,21;6,14;52,51;140,75;1564,85;2,22;3,21;0,82;66,27;63,67;564,568
abr/15;119,20;110,51;194,02;20,87;57,57;34,37;6,28;53,17;144,93;1615,09;2,19;3,00;0,85;61,78;59,53;569,738
mai/15;106,82;92,42;190,44;19,41;56,58;35,20;5,92;54,08;145,37;1632,72;2,14;2,92;0,89;57,64;54,24;572,034
jun/15;111,80;85,55;166,14;19,17;56,80;34,06;6,08;53,97;144,79;1657,25;2,26;3,12;0,92;62,57;60,64;575,938
jul/15;109,90;85,94;147,43;20,74;61,16;33,51;6,07;53,75;144,66;1658,14;2,30;3,09;0,97;59,68;57,35;579,293
ago/15;108,84;87,80;144,42;20,89;63,31;33,59;6,21;54,26;144,89;1646,80;2,36;3,08;0,99;60,23;58,06;581,618
set/15;123,69;92,10;141,32;23,04;68,30;34,02;6,21;54,97;145,09;1651,41;2,44;3,47;1,00;60,53;58,98;589,897
out/15;124,13;101,19;147,15;24,37;69,98;36,37;6,47;56,26;145,27;1654,95;2,56;3,68;0,99;63,15;60,62;600,269
nov/15;132,11;102,77;187,20;24,45;67,39;37,78;6,29;58,88;146,60;1672,59;2,68;3,52;0,99;64,17;59,91;607,441
dez/15;161,56;109,54;215,11;24,34;66,10;37,44;6,32;60,35;147,75;1691,56;2,68;3,55;0,98;64,02;60,79;610,128
jan/16;171,48;133,68;217,09;29,60;70,82;38,30;6,59;60,48;148,77;1656,22;2,55;3,34;0,99;62,82;59,99;619,476
fev/16;189,36;145,82;237,47;32,43;68,68;38,96;6,72;60,73;150,75;1690,92;2,53;2,87;1,01;73,78;71,28;624,366
mar/16;182,80;141,42;339,69;34,26;63,78;39,61;6,52;60,58;151,57;1709,13;2,61;3,12;1,03;76,38;74,11;627,06
abr/16;208,39;142,82;364,48;37,18;66,01;40,81;6,53;65,46;150,63;1685,78;2,59;2,89;1,08;65,86;63,95;629,345
mai/16;228,21;146,95;328,94;39,98;73,10;41,41;6,39;66,40;145,81;1618,33;2,54;2,76;1,15;66,01;63,99;636,468
jun/16;378,13;193,22;325,14;38,73;80,96;44,70;6,56;65,79;147,11;1638,89;2,77;3,45;1,21;82,96;80,45;646,868
jul/16;367,11;211,44;398,41;34,69;74,67;45,71;7,05;66,80;147,44;1575,54;2,89;3,35;1,40;84,45;81,90;644,356
ago/16;375,99;210,21;387,48;35,02;68,17;43,87;7,06;67,19;146,70;1593,56;2,92;3,62;1,55;83,85;82,36;647,153
set/16;339,14;205,39;414,57;31,49;66,40;38,63;7,36;67,24;147,26;1712,73;2,86;3,59;1,52;75,62;73,36;647,36
out/16;244,58;208,51;542,78;32,11;66,08;35,40;7,48;68,02;149,50;1761,74;2,84;3,67;1,39;70,00;67,61;648,213
nov/16;186,70;208,56;464,25;29,96;67,84;34,47;8,05;68,62;149,51;1693,39;3,08;3,76;1,29;67,79;65,08;648,561
dez/16;152,83;196,13;474,65;29,35;68,60;33,63;7,86;69,42;148,79;1625,17;2,96;3,86;1,22;76,74;74,46;653,951
jan/17;108,86;152,74;531,66;27,46;65,45;33,13;7,68;70,02;148,72;1685,48;2,68;3,86;1,20;65,13;62,61;656,778
fev/17;104,58;122,01;569,44;25,28;63,89;31,68;7,81;69,89;146,48;1599,33;2,62;3,96;1,22;81,79;79,78;657,191
mar/17;121,57;127,02;570,48;23,11;59,92;31,73;7,35;69,55;143,50;1546,95;2,58;3,97;1,22;84,28;81,80;654,709
abr/17;128,10;124,60;546,77;20,77;55,99;31,35;4,05;71,47;140,12;1605,77;2,54;3,71;1,29;86,03;83,11;646,573
mai/17;167,96;120,84;475,47;20,63;57,95;31,38;6,95;70,86;137,70;1612,14;2,51;3,61;1,32;79,30;76,86;643,26
jun/17;159,49;133,23;491,30;19,49;58,31;32,63;6,70;70,00;130,59;1486,61;2,54;3,34;1,33;84,54;81,13;637,079
jul/17;108,21;123,05;517,58;18,09;60,73;35,11;6,88;67,62;127,80;1473,73;2,58;3,28;1,32;80,53;77,63;635,198
ago/17;91,15;111,63;522,14;17,41;57,01;35,01;7,02;68,08;128,67;1504,58;2,50;3,50;1,28;78,57;75,98;636,714
set/17;94,07;112,41;549,41;19,30;58,44;32,64;6,84;66,87;142,68;1555,34;2,49;3,43;1,18;74,20;71,33;640,654
out/17;89,96;109,64;622,53;20,91;60,32;32,34;6,87;65,87;139,09;1517,81;2,45;3,54;1,12;72,17;70,07;641,279
nov/17;87,34;111,35;668,15;22,14;62,44;33,38;6,87;65,38;138,64;1446,94;2,43;3,47;1,05;68,75;66,63;646,422
dez/17;81,63;104,65;559,32;22,95;63,73;33,96;6,89;64,47;139,82;1511,66;2,50;3,41;1,03;67,74;65,09;651,214
jan/18;90,46;105,92;609,16;22,99;62,20;34,25;6,86;66,99;141,25;1610,88;2,48;3,42;1,05;64,18;61,94;654,968
fev/18;89,83;117,14;575,25;23,58;65,00;34,16;6,78;67,29;141,07;1603,58;2,47;3,32;1,05;75,55;73,16;655,975
mar/18;82,50;108,29;551,63;29,72;68,74;35,25;6,57;67,47;141,42;1590,54;2,45;3,14;1,08;79,33;76,87;659,665
abr/18;90,22;103,94;532,53;30,58;73,97;38,09;6,37;66,40;141,19;1645,00;2,46;3,08;1,15;75,27;72,95;665,77
mai/18;103,35;116,35;474,17;32,01;75,17;42,39;6,62;63,29;139,41;1585,39;2,52;2,98;1,21;69,07;64,10;676,695
jun/18;85,65;115,08;402,22;31,61;72,62;46,59;6,81;63,96;138,97;1614,90;2,89;3,18;1,28;83,01;80,43;686,696
jul/18;77,97;112,77;476,19;29,69;75,68;49,35;6,61;66,32;141,11;1677,04;2,85;3,12;1,41;73,36;71,39;689,746
ago/18;86,55;112,43;453,77;31,77;77,46;47,41;6,39;68,04;144,14;1706,62;2,87;3,22;1,52;69,90;67,64;694,414
set/18;95,26;119,00;464,71;31,92;80,31;46,54;6,30;67,05;146,74;1741,74;2,97;3,37;1,48;67,64;66,68;706,834
out/18;95,25;125,54;455,41;28,71;75,95;42,90;6,42;67,03;149,90;1768,69;2,98;3,49;1,42;65,05;64,17;708,694
nov/18;102,40;121,82;394,97;27,20;71,25;43,63;6,64;68,04;149,56;1756,88;2,91;3,54;1,40;68,52;66,53;700,601
dez/18;123,52;123,84;346,47;27,88;69,59;45,65;6,33;67,60;151,49;1752,95;2,89;3,64;1,29;67,03;63,75;697,446
jan/19;206,96;160,83;364,61;29,19;67,53;47,23;6,21;67,30;151,06;1758,37;2,89;3,59;1,26;60,72;55,97;697,923
fev/19;313,66;192,46;372,69;30,35;68,66;48,64;6,30;65,68;150,74;1745,24;2,82;3,51;1,30;82,63;78,69;706,66
mar/19;282,14;153,26;354,70;29,64;68,27;48,32;6,17;64,97;150,55;1696,86;3,07;3,63;1,34;75,19;72,59;714,243
abr/19;222,58;130,53;319,02;26,89;66,85;46,50;6,04;64,98;151,09;1743,48;3,04;3,75;1,38;82,96;80,71;720,695
mai/19;136,33;117,91;325,15;25,96;66,48;45,78;5,56;65,97;150,36;1731,52;3,10;3,85;1,41;78,42;75,20;723,577
jun/19;116,51;116,56;321,67;29,16;70,08;45,70;6,27;68,34;148,98;1725,02;3,06;4,07;1,44;74,18;71,23;728,142
jul/19;117,70;114,47;326,05;28,60;66,46;45,76;6,50;67,92;150,04;1728,52;3,11;4,34;1,37;75,87;71,61;728,084
ago/19;126,62;113,51;321,96;27,81;71,86;46,19;6,34;66,08;150,47;1729,39;3,08;3,93;1,31;80,08;75,86;724,395
set/19;138,77;118,20;304,09;28,09;73,54;46,24;6,44;65,85;150,53;1740,15;3,06;3,98;1,32;81,74;78,97;728,04
out/19;148,77;121,35;310,00;31,41;75,38;44,58;6,36;66,37;154,61;1791,83;3,10;4,16;1,31;81,64;79,45;732,041
nov/19;235,80;126,68;368,26;33,48;76,75;45,83;6,63;66,51;185,10;2081,65;3,11;4,33;1,32;78,93;75,91;738,264
dez/19;235,58;131,81;412,90;36,32;77,33;47,46;7,33;66,73;197,22;2195,78;3,11;4,68;1,32;85,98;82,94;751,121
jan/20;184,65;126,75;415,40;39,19;77,64;48,38;7,06;67,63;184,08;2070,34;3,42;4,73;1,35;79,88;75,57;751,82
fev/20;174,45;127,32;370,01;39,54;77,77;50,64;6,94;70,01;186,10;2112,62;3,23;4,56;1,36;95,27;91,74;751,91
mar/20;219,92;145,31;366,39;42,27;82,78;54,00;7,86;70,64;188,88;2183,62;3,23;4,72;1,39;98,78;95,42;764,276
abr/20;304,17;191,13;360,12;39,98;85,86;57,29;7,96;71,88;183,34;2117,47;3,19;4,33;1,38;105,10;101,73;764,656
mai/20;304,45;219,80;325,99;40,21;94,03;60,13;8,13;73,72;181,61;2079,32;3,20;4,19;1,35;96,13;93,12;772,843
jun/20;273,91;221,75;333,86;38,19;91,99;58,48;7,15;73,23;192,84;2230,78;3,45;4,27;1,40;95,39;92,38;785,221
jul/20;195,92;202,01;342,48;41,17;98,88;57,48;7,20;74,50;209,50;2424,89;3,54;4,66;1,60;87,92;85,33;803,584
ago/20;192,69;225,37;340,92;45,55;107,90;57,64;8,22;76,77;217,68;2551,42;3,60;5,56;1,78;85,24;82,82;834,713
set/20;252,88;240,13;374,04;50,33;122,11;62,05;8,12;76,89;233,31;2709,10;3,86;6,21;1,97;88,86;86,32;862,259
out/20;264,85;249,25;493,76;59,81;141,21;68,61;7,82;76,53;246,05;2845,14;4,16;6,59;2,05;95,21;92,52;893,997
nov/20;271,86;252,41;445,79;67,58;146,96;75,37;8,03;74,49;272,08;3032,02;4,45;7,17;2,00;105,32;102,47;917,538
dez/20;288,04;283,20;416,31;63,59;137,38;68,31;8,23;76,96;263,18;2921,73;4,60;6,71;2,02;112,59;110,04;924,504
jan/21;261,50;273,85;394,27;72,54;150,79;71,64;8,93;76,89;271,12;3079,45;4,62;6,65;2,04;110,34;107,21;951,395
fev/21;275,93;299,93;408,17;72,39;153,24;75,85;9,61;77,40;283,84;3192,75;4,74;6,49;1,94;117,67;115,35;977,133
mar/21;282,98;285,84;402,25;77,84;156,96;80,01;10,33;77,95;288,14;3427,05;4,90;6,40;1,86;127,73;124,00;998,344
abr/21;264,14;255,71;420,08;90,13;159,58;87,27;10,54;81,69;297,26;3570,37;4,79;6,46;1,86;127,68;115,55;1020,495
mai/21;267,37;266,58;469,06;91,38;159,74;85,85;11,37;95,15;295,83;3533,75;5,03;6,63;1,92;126,42;113,38;1055,167
jun/21;253,12;239,88;467,31;78,82;146,44;79,01;12,21;99,78;302,49;3572,11;5,12;6,46;2,06;121,32;113,44;1056,343
jul/21;253,88;233,03;435,25;88,34;150,76;81,55;13,05;102,47;309,24;3631,93;5,36;6,44;2,21;125,35;113,72;1071,615
ago/21;272,26;241,44;463,23;93,64;155,05;87,75;15,28;103,17;309,74;3699,46;5,60;6,60;2,25;132,81;127,36;1070,147
set/21;274,84;242,18;509,38;85,66;156,89;87,59;16,76;105,02;304,04;3566,77;5,91;6,53;2,29;129,74;127,97;1064,31
out/21;261,95;228,03;510,14;82,85;158,44;87,34;18,04;105,07;285,63;3385,10;5,91;6,71;2,26;123,64;121,88;1081,301
nov/21;252,27;225,39;582,47;77,13;153,58;87,43;19,29;106,55;287,03;3442,78;5,87;6,38;2,16;116,04;114,08;1075,022
dez/21;237,22;230,40;633,09;79,89;156,49;88,17;21,33;109,69;307,11;3634,72;5,41;6,43;2,08;114,42;112,02;1088,489
jan/22;265,87;274,41;602,45;88,35;164,95;89,13;21,65;111,13;313,99;3738,23;5,08;6,10;2,05;120,50;120,05;1110,398
fev/22;275,00;277,63;605,98;90,95;183,94;89,18;22,28;111,27;312,67;3699,63;5,09;6,01;2,05;128,11;127,50;1127,077
mar/22;313,67;281,94;657,32;90,67;190,63;97,10;19,72;110,99;315,02;3729,75;5,36;6,19;2,11;134,24;133,63;1153,777
abr/22;314,88;247,97;709,23;78,05;172,19;93,73;17,97;110,85;308,96;3634,08;5,69;6,29;2,28;140,09;139,48;1158,546
mai/22;364,18;208,47;756,44;80,36;177,86;98,60;18,14;118,33;303,95;3559,30;5,58;6,45;2,41;140,12;139,51;1166,542
jun/22;341,22;197,45;792,85;79,31;175,94;107,61;19,18;122,03;296,48;3484,58;5,58;6,51;2,58;138,30;137,70;1173,831
jul/22;285,91;182,77;886,00;73,89;171,54;109,66;19,56;121,91;301,94;3544,15;5,53;6,69;2,98;137,84;137,23;1169,426
ago/22;279,61;180,92;875,38;75,33;167,48;108,12;18,05;120,41;296,45;3489,77;5,47;6,66;3,35;138,41;137,80;1162,956
set/22;268,94;181,60;879,97;75,56;167,30;93,31;17,78;118,00;287,18;3424,08;5,39;6,62;3,08;140,46;139,87;1148,811
out/22;292,00;194,28;953,63;76,06;165,87;94,07;16,55;114,76;282,55;3329,99;5,23;6,68;2,82;140,49;139,91;1141,733
nov/22;324,50;216,48;1027,11;75,90;169,10;98,61;14,09;115,61;277,55;3276,71;5,19;6,69;2,71;140,49;139,91;1139,734
dez/22;379,70;253,15;1067,46;73,95;166,22;93,73;14,07;116,41;280,81;3306,80;5,14;6,73;2,59;138,12;135,96;1143,225
jan/23;371,89;272,76;1080,90;76,80;163,13;91,33;14,00;115,77;276,29;3259,32;5,00;6,61;2,58;128,48;123,91;1143,861
fev/23;351,55;261,91;1111,53;75,26;158,14;88,62;15,54;118,63;268,77;3148,79;4,98;6,74;2,68;148,16;145,52;1144,271
mar/23;396,96;260,54;1071,17;72,92;149,15;87,37;16,17;119,01;273,05;3172,65;4,91;6,91;2,74;144,55;143,66;1140,357
abr/23;374,47;259,90;918,03;61,76;132,16;79,11;16,08;119,84;275,94;3199,44;4,86;6,64;2,83;175,96;172,65;1128,805
mai/23;285,29;203,44;774,34;48,20;123,73;69,01;14,73;122,64;255,38;2958,53;4,77;6,10;2,92;179,95;165,16;1102,506
jun/23;240,99;205,65;758,23;46,83;119,68;66,34;13,33;122,57;236,61;2804,58;4,54;5,41;2,84;186,07;166,27;1086,474
jul/23;184,24;215,06;770,31;46,06;127,75;66,47;11,09;120,72;245,44;2941,80;4,40;6,06;2,71;166,07;156,34;1082,11
ago/23;190,77;221,57;745,44;44,51;129,93;62,95;11,27;117,15;226,16;2698,07;4,48;6,00;2,54;155,05;147,26;1082,59
set/23;182,55;225,43;634,60;43,10;127,19;50,92;11,11;115,12;203,95;2425,21;4,46;6,11;2,36;135,53;129,87;1087,42
out/23;204,99;235,79;587,26;44,02;124,30;50,99;11,26;114,13;228,15;2708,62;4,47;6,15;2,21;140,62;137,94;1092,97
nov/23;233,95;280,49;557,16;45,44;127,63;63,72;12,44;115,60;231,68;2736,68;4,53;6,16;2,15;133,82;124,26;1098,48
dez/23;284,33;307,85;560,93;50,05;127,62;66,33;13,45;117,08;235,32;2762,25;4,63;6,25;2,13;138,41;133,50;1105,54
jan/24;315,11;329,53;559,16;49,26;110,42;65,13;13,88;116,06;236,03;2747,06;4,59;6,12;2,15;127,01;110,55;1102,57
fev/24;323,70;344,44;501,24;48,44;103,85;64,39;13,90;116,70;231,46;2703,97;4,55;6,07;2,23;150,26;157,60;1098,10
